freq,unit,geo,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,HAB_P,EL64,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,333.86d,330.66d,332.81d,343.72d,348.18d,328.48d,320.27d,322.45d,301.05d,:
A,HAB_P,EL65,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,265.50d,278.37d,280.86d,262.73d,270.33d,263.19d,259.29d,252.66d,250.89d,:
A,HAB_P,ES,:,:,:,363.96de,348.73de,342.14de,327.82de,318.93de,318.89de,319.52de,310.20de,290.34de,282.06de,275.87de,280.85de,282.10de,277.96de,266.10de,260.74be,261.55e,262.40e,263.10e,260.05e,261.54e,257.94e,248.70e,227.08e,218.51e,222.89e,:
A,HAB_P,ES11,:,:,:,:,:,:,371.88de,330.63de,323.70de,334.82de,406.24de,375.52de,321.88de,262.21de,265.94de,289.64de,313.59de,288.85de,263.24be,240.60e,225.34e,221.72e,221.11e,226.64e,218.76e,214.31e,210.55e,215.41e,221.58e,:
A,HAB_P,ES12,:,:,:,:,:,:,356.10de,307.63de,309.88de,295.15de,318.74de,297.89de,292.63de,270.63de,294.02de,272.99de,266.97de,225.82de,225.53be,226.29e,263.93e,298.79e,267.91e,248.65e,237.77e,249.55e,251.06e,238.47e,222.86e,:
A,HAB_P,ES13,:,:,:,:,:,:,355.61de,326.90de,321.09de,343.95de,398.56de,300.79de,257.44de,219.95de,238.64de,264.07de,288.53de,299.79de,253.59be,230.31e,196.55e,181.64e,182.36e,179.63e,193.67e,189.16e,194.00e,168.16e,160.84e,:
A,HAB_P,ES21,:,:,:,:,:,:,411.39de,378.86de,309.36de,274.71de,264.45de,270.41de,243.85de,235.49de,221.75de,262.10de,267.65de,243.26de,211.35be,198.26e,205.13e,201.91e,197.95e,199.14e,200.73e,196.95e,177.52e,178.33e,190.92e,:
A,HAB_P,ES22,:,:,:,:,:,:,265.30de,311.39de,308.20de,251.98de,186.54de,162.70de,171.35de,188.66de,240.73de,252.13de,227.74de,176.41de,163.73be,189.93e,236.36e,289.68e,230.03e,201.23e,185.10e,197.59e,185.05e,156.22e,149.74e,:
A,HAB_P,ES23,:,:,:,:,:,:,357.01de,343.21de,377.42de,366.75de,359.81de,304.62de,346.45de,261.71de,260.13de,238.55de,282.31de,267.00de,229.22be,195.84e,179.67e,188.94e,195.50e,194.23e,203.88e,239.65e,286.14e,305.96e,287.58e,:
A,HAB_P,ES24,:,:,:,:,:,:,211.79de,238.65de,239.61de,217.45de,203.01de,230.82de,258.02de,260.27de,206.83de,187.90de,180.75de,189.34de,204.67be,228.58e,256.99e,254.13e,216.73e,203.60e,201.10e,212.16e,198.87e,173.57e,182.11e,:
A,HAB_P,ES30,:,:,:,:,:,:,259.56de,295.28de,327.69de,371.40de,298.57de,240.02de,231.46de,235.55de,267.80de,249.41de,225.46de,199.08de,200.52be,217.63e,227.24e,218.09e,211.14e,215.88e,224.47e,219.05e,192.37e,175.67e,179.97e,:
A,HAB_P,ES41,:,:,:,:,:,:,304.05de,290.37de,298.69de,284.86de,292.59de,289.13de,312.38de,339.96de,362.85de,330.58de,290.67de,273.80de,265.65be,261.52e,232.38e,222.10e,220.16e,228.95e,239.40e,220.56e,214.69e,227.28e,255.35e,:
A,HAB_P,ES42,:,:,:,:,:,:,458.54de,388.27de,363.70de,395.63de,435.65de,427.83de,364.56de,322.28de,297.27de,289.96de,280.47de,252.02de,251.28be,286.40e,338.39e,359.07e,317.80e,320.77e,328.35e,350.22e,353.90e,361.23e,361.88e,:
A,HAB_P,ES43,:,:,:,:,:,:,441.68de,382.91de,348.96de,317.75de,315.52de,316.97de,369.83de,394.59de,397.28de,409.51de,427.41de,384.01de,348.38be,298.01e,305.62e,288.20e,286.24e,311.15e,392.68e,384.98e,325.79e,269.51e,240.09e,:
A,HAB_P,ES51,:,:,:,:,:,:,369.59de,333.86de,324.97de,322.90de,322.08de,291.91de,275.79de,267.22de,264.57de,269.27de,288.58de,309.02de,289.37be,252.18e,237.44e,250.24e,278.62e,306.64e,285.13e,244.85e,204.24e,213.62e,236.31e,:
A,HAB_P,ES52,:,:,:,:,:,:,295.24de,288.08de,282.61de,297.70de,294.75de,304.36de,295.15de,295.10de,291.89de,308.38de,281.66de,268.52de,248.15be,245.82e,241.97e,256.44e,281.49e,267.05e,264.07e,266.13e,254.43e,222.27e,232.24e,:
A,HAB_P,ES53,:,:,:,:,:,:,371.51de,343.28de,285.64de,275.86de,283.61de,298.88de,251.37de,266.96de,304.13de,326.79de,362.97de,347.17de,365.40be,345.44e,348.24e,350.46e,345.75e,328.99e,354.63e,329.48e,272.61e,204.83e,174.65e,:
A,HAB_P,ES61,:,:,:,:,:,:,348.06de,332.52de,351.46de,342.91de,321.46de,295.89de,298.02de,304.47de,317.03de,313.26de,306.86de,300.14de,326.79be,365.11e,384.10e,366.64e,339.20e,327.35e,309.38e,289.90e,268.94e,272.12e,262.29e,:
A,HAB_P,ES62,:,:,:,:,:,:,265.71de,271.55de,271.67de,262.40de,273.85de,287.81de,333.08de,268.32de,247.51de,235.81de,245.37de,255.49de,280.87be,304.57e,286.93e,252.42e,230.04e,228.22e,229.03e,223.13e,221.14e,237.00e,269.59e,:
A,HAB_P,ES63,:,:,:,:,:,:,236.18de,164.02de,152.09de,141.98de,237.75de,268.75de,361.96de,440.02de,279.80de,175.72de,130.18de,109.76de,112.87be,148.49e,257.16e,368.19e,212.21e,140.24e,127.62e,120.25e,110.40e,114.33e,131.15e,:
A,HAB_P,ES64,:,:,:,:,:,:,:de,:de,:de,:de,:de,:de,:de,:de,:de,:de,:de,:de,:be,:e,:e,:e,:e,:e,:e,:e,:e,:e,:e,:
A,HAB_P,ES70,:,:,:,:,:,:,388.90de,360.14de,359.54de,387.23de,378.88de,356.33de,312.78de,298.90de,289.56de,322.32de,357.07de,390.32de,359.94be,329.18e,297.44e,316.49e,302.87e,310.43e,269.47e,289.41e,253.50e,224.07e,199.09e,:
A,HAB_P,FI,:,:,:,:,:,:,:,:,:,:,:,355.92e,350.75e,349.01e,332.94e,325.70e,319.58e,314.05e,306.87e,306.36e,299.87e,295.60e,293.01,292.21,288.55,286.80,280.36,276.89,:,:
A,HAB_P,FI19,:,:,:,:,:,:,:,:,:,:,:,393.89e,380.78e,375.14e,356.57e,351.35e,343.77e,339.66e,323.44e,324.82e,329.43e,319.37e,314.80,319.12,314.46,309.36,299.31,297.40,:,:
A,HAB_P,FI1B,:,:,:,:,:,:,:,:,:,:,:,311.40e,307.08e,312.12e,288.48e,284.31e,281.89e,274.86e,274.88e,272.61e,264.50e,266.45e,266.24,267.67,266.15,263.81,262.64,259.83,:,:
A,HAB_P,FI1C,:,:,:,:,:,:,:,:,:,:,:,386.99e,382.13e,374.46e,366.93e,361.72e,349.32e,343.86e,336.41e,336.39e,325.66e,321.65e,315.77,311.28,305.73,306.09,301.96,292.00,:,:
A,HAB_P,FI1D,:,:,:,:,:,:,:,:,:,:,:,349.72e,351.50e,348.34e,340.04e,326.22e,321.09e,315.47e,306.69e,306.29e,297.26e,289.81e,287.75,280.79,278.44,279.62,267.64,266.87,:,:
A,HAB_P,FI20,:,:,:,:,:,:,:,:,:,:,:,528.77e,409.97e,412.99e,409.67e,354.60e,349.30e,464.51e,440.32e,526.44e,396.99e,342.75e,380.91,593.85,376.30,340.68,331.52,329.74,:,:
A,HAB_P,FR,318.07,314.81,312.91,311.09,309.39,308.19,308.31,306.92,304.27,302.23,300.93,299.53,299.56,300.19,301.75,302.05,306.11,305.56,327.14b,325.44,324.19,323.45,321.97,320.41,318.63,318.70,315.46,314.94,314.13,:
A,HAB_P,FR10,:,:,:,:,:,:,239.12,239.69,239.82,239.60,239.63,240.33,242.28,243.89,248.41,250.70,248.65,248.96,276.64b,275.79,275.34,275.50,275.05,274.51,275.13,277.11,277.48,278.46,278.64,:
A,HAB_P,FRB0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,386.00,409.44b,408.90,404.84,402.25,404.24,404.75,405.38,407.67,407.88,410.02,414.08,:
